排序,國別地區,中文片名,上映日期,申請人,出品,上映院數,銷售票數,票數變動率,銷售金額,累計銷售票數,累計銷售金額
72,日本,一屍到底,2018/09/21,車庫娛樂股份有限公司,NIKKATSU CORPORATION,2,114,-66.96%,"26,920","229,500","52,891,255"
73,日本,麵包超人電影版閃耀吧！庫倫與生命之星,2018/09/21,曼迪傳播有限公司,"TMS ENTERTAINMENT CO.,LTD.",1,47,-37.33%,"10,360","4,808","1,086,979"
74,美國,失蹤網紅,2018/09/14,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,(英國)LIONS GATE INTERNATIONAL(UK) LIMITED,8,"1,376",71.14%,"94,255","103,153","23,602,511"
75,美國,終極戰士：掠奪者,2018/09/14,美商廿世紀福斯影片股份有限公司台灣分公司,TWENTIETH CENTURY FOX INTERNATIONAL CORPORATION.,7,672,-44.83%,"61,700","188,014","43,512,589"
76,阿根廷,密謀,2018/09/14,本萃電影有限公司,(西班牙)LATIDO CONSORCIO DE EXPORTACION DEL CINE ESPANOL SL,1,73,114.71%,"11,170","9,638","2,209,961"
77,美國,鬼修女,2018/09/06,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,5,517,-20.34%,"34,190","476,808","112,534,202"
78,美國,私刑教育2,2018/08/30,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,11,"1,752",2.16%,"145,865","304,968","69,988,145"
79,美國,瘋狂亞洲富豪,2018/08/24,美商華納兄弟(遠東)股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,12,"2,046",-21.03%,"186,875","283,909","66,165,656"
80,美國,我願意,2018/08/24,英屬蓋曼群島商威望國際娛樂股份有限公司台灣分公司,"STX PRODUCTIONS,LLC",1,44,41.94%,"4,400","6,335","1,073,071"
81,中華民國,鬥魚,2018/08/17,星泰國際娛樂股份有限公司,多曼尼製作有限公司##星泰國際娛樂股份有限公司##旺旺中時媒體集團##宏璟建設股份有限公司##樂到家國際娛樂股份有限公司##香港商福斯傳媒有限公司台灣分公司##(大陸)霍爾果斯鑫岳影視傳媒有限公司##(大陸)霍爾果斯觀達影視文化傳播有限公司,2,723,27.96%,"38,155","136,318","30,533,109"
82,美國,巨齒鯊,2018/08/10,美商華納兄弟（遠東）股份有限公司台灣分公司,WARNER BROS. PICTURES INTERNATIONAL.,2,255,-33.07%,"17,150","698,028","162,286,191"
83,美國,摯友維尼,2018/08/03,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",4,267,-28.80%,"20,145","103,141","23,482,394"
84,美國,不可能的任務：全面瓦解,2018/07/25,美商美國派拉蒙影片股份有限公司台灣分公司,PARAMOUNT PICTURES CORPORATION,7,"1,387",-36.61%,"106,790","1,895,768","447,389,870"
85,美國,尖叫旅社3:怪獸假期,2018/07/19,博偉電影股份有限公司,SONY PICTURES RELEASING INTERNATIONAL CORPORATION.,4,168,-55.08%,"18,370","310,268","68,643,410"
86,日本,名偵探柯南:零的執行人,2018/07/06,向洋影業有限公司,"TMS ENTERTAINMENT CO.,LTD.",1,40,-40.30%,"5,600","392,539","91,815,154"
87,美國,超人特攻隊2,2018/06/27,台灣華特迪士尼股份有限公司,"BUENA VISTA INTERNATIONAL,INC.",1,48,-78.48%,"1,050","1,148,316","260,565,233"
88,中華民國,愛情線索2：奇妙關係,2018/05/11,台灣牛角電影有限公司,台灣牛角電影有限公司,1,702,0.00%,"168,480","1,670","364,740"
